miner,config,batch_id,drift_score,drift_band,quality_score,base_contamination,adaptive_formula,effective_param,base_eps,corr_threshold
IsolationForest,"base=0.1,formula=linear_0.15",9,1.0,high,0.7489361702127659,0.1,linear_0.15,0.25,,
IsolationForest,"base=0.1,formula=linear_0.15",10,1.0,high,0.75,0.1,linear_0.15,0.25,,
IsolationForest,"base=0.15,formula=fixed",1,0.0,low,0.849438202247191,0.15,fixed,0.15,,
IsolationForest,"base=0.15,formula=fixed",2,0.011441085306892869,low,0.8496784565916399,0.15,fixed,0.15,,
IsolationForest,"base=0.15,formula=fixed",3,0.0,low,0.849936948297604,0.15,fixed,0.15,,
IsolationForest,"base=0.15,formula=fixed",4,0.0,low,0.8509316770186335,0.15,fixed,0.15,,
IsolationForest,"base=0.15,formula=fixed",5,1.0,high,0.8477157360406091,0.15,fixed,0.15,,
IsolationForest,"base=0.15,formula=fixed",6,1.0,high,0.85,0.15,fixed,0.15,,
IsolationForest,"base=0.15,formula=fixed",7,0.0,low,0.8499861610849709,0.15,fixed,0.15,,
IsolationForest,"base=0.15,formula=fixed",8,0.0,low,0.8503401360544218,0.15,fixed,0.15,,
IsolationForest,"base=0.15,formula=fixed",9,1.0,high,0.848936170212766,0.15,fixed,0.15,,
IsolationForest,"base=0.15,formula=fixed",10,1.0,high,0.85,0.15,fixed,0.15,,
IsolationForest,"base=0.15,formula=linear_0.20",1,0.0,low,0.849438202247191,0.15,linear_0.20,0.15,,
IsolationForest,"base=0.15,formula=linear_0.20",2,0.011441085306892869,low,0.8472668810289389,0.15,linear_0.20,0.152288,,
IsolationForest,"base=0.15,formula=linear_0.20",3,0.0,low,0.849936948297604,0.15,linear_0.20,0.15,,
IsolationForest,"base=0.15,formula=linear_0.20",4,0.0,low,0.8509316770186335,0.15,linear_0.20,0.15,,
IsolationForest,"base=0.15,formula=linear_0.20",5,1.0,high,0.649746192893401,0.15,linear_0.20,0.35,,
IsolationForest,"base=0.15,formula=linear_0.20",6,1.0,high,0.65,0.15,linear_0.20,0.35,,
IsolationForest,"base=0.15,formula=linear_0.20",7,0.0,low,0.8499861610849709,0.15,linear_0.20,0.15,,
IsolationForest,"base=0.15,formula=linear_0.20",8,0.0,low,0.8503401360544218,0.15,linear_0.20,0.15,,
IsolationForest,"base=0.15,formula=linear_0.20",9,1.0,high,0.648936170212766,0.15,linear_0.20,0.35,,
IsolationForest,"base=0.15,formula=linear_0.20",10,1.0,high,0.65,0.15,linear_0.20,0.35,,
IsolationForest,"base=0.15,formula=linear_0.30",1,0.0,low,0.849438202247191,0.15,linear_0.30,0.15,,
IsolationForest,"base=0.15,formula=linear_0.30",2,0.011441085306892869,low,0.8464630225080386,0.15,linear_0.30,0.153432,,
IsolationForest,"base=0.15,formula=linear_0.30",3,0.0,low,0.849936948297604,0.15,linear_0.30,0.15,,
IsolationForest,"base=0.15,formula=linear_0.30",4,0.0,low,0.8509316770186335,0.15,linear_0.30,0.15,,
IsolationForest,"base=0.15,formula=linear_0.30",5,1.0,high,0.5482233502538071,0.15,linear_0.30,0.45,,
IsolationForest,"base=0.15,formula=linear_0.30",6,1.0,high,0.55,0.15,linear_0.30,0.45,,
IsolationForest,"base=0.15,formula=linear_0.30",7,0.0,low,0.8499861610849709,0.15,linear_0.30,0.15,,
IsolationForest,"base=0.15,formula=linear_0.30",8,0.0,low,0.8503401360544218,0.15,linear_0.30,0.15,,
IsolationForest,"base=0.15,formula=linear_0.30",9,1.0,high,0.548936170212766,0.15,linear_0.30,0.45,,
IsolationForest,"base=0.15,formula=linear_0.30",10,1.0,high,0.55,0.15,linear_0.30,0.45,,
IsolationForest,"base=0.15,formula=linear_0.15",1,0.0,low,0.849438202247191,0.15,linear_0.15,0.15,,
IsolationForest,"base=0.15,formula=linear_0.15",2,0.011441085306892869,low,0.8480707395498392,0.15,linear_0.15,0.151716,,
IsolationForest,"base=0.15,formula=linear_0.15",3,0.0,low,0.849936948297604,0.15,linear_0.15,0.15,,
IsolationForest,"base=0.15,formula=linear_0.15",4,0.0,low,0.8509316770186335,0.15,linear_0.15,0.15,,
IsolationForest,"base=0.15,formula=linear_0.15",5,1.0,high,0.700507614213198,0.15,linear_0.15,0.3,,
IsolationForest,"base=0.15,formula=linear_0.15",6,1.0,high,0.7,0.15,linear_0.15,0.3,,
